task_id,strategy,distance
e69241bd,random_k3,2.9895417669156523
e69241bd,color_first,3.6760322725932997
e69241bd,nn_color_first,3.6760322725932997
e69241bd,object_first,1.800656393018933
e69241bd,row_first,3.3613824777563943
e69241bd,col_first,3.196727532581566
e8593010,random_k3,2.4687069838363027
e8593010,color_first,2.175032799355169
e8593010,nn_color_first,2.175032799355169
e8593010,object_first,2.3630236943847005
e8593010,row_first,2.1127420168038267
e8593010,col_first,1.7573371904552462
ecaa0ec1,random_k3,3.6552748189578734
ecaa0ec1,color_first,3.4654929233112686
ecaa0ec1,nn_color_first,3.4654929233112686
ecaa0ec1,object_first,2.3396808514363014
ecaa0ec1,row_first,2.9486977105930214
ecaa0ec1,col_first,2.5305818063512975
fe9372f3,random_k3,2.2466129115595286
fe9372f3,color_first,2.1293120172946165
fe9372f3,nn_color_first,2.1293120172946165
fe9372f3,object_first,1.191865709816915
fe9372f3,row_first,1.8788266086800187
fe9372f3,col_first,2.9919031514684318
